config nodes ppn op tp
esdm-lustre01 100 12 write 49001.98174878
esdm-lustre01 100 12 write 43157.41703126
esdm-lustre01 100 12 write 46608.90024978
esdm-lustre01 100 12 read 278287.48039197
esdm-lustre01 100 12 read 419812.70010305
esdm-lustre01 100 12 read 377327.87727119
esdm-lustre01 100 1 write 42230.51346609
esdm-lustre01 100 1 write 38708.18459257
esdm-lustre01 100 1 write 41026.20081282
esdm-lustre01 100 1 write 40807.28157969
esdm-lustre01 100 1 read 62908.97297190
esdm-lustre01 100 1 read 48410.98497519
esdm-lustre01 100 1 read 62839.21570663
esdm-lustre01 100 1 read 62898.10025149
esdm-lustre01 100 2 write 48013.28776921
esdm-lustre01 100 2 write 47607.96262147
esdm-lustre01 100 2 write 46223.06962795
esdm-lustre01 100 2 write 42311.52497817
esdm-lustre01 100 2 read 124430.40871883
esdm-lustre01 100 2 read 116912.87410620
esdm-lustre01 100 2 read 124537.94541273
esdm-lustre01 100 2 read 123778.95119592
esdm-lustre01 100 4 write 49847.90485772
esdm-lustre01 100 4 write 48552.24920377
esdm-lustre01 100 4 write 48083.12814122
esdm-lustre01 100 4 write 41990.97438511
esdm-lustre01 100 4 read 222995.13365343
esdm-lustre01 100 4 read 211660.26477805
esdm-lustre01 100 4 read 227118.43021124
esdm-lustre01 100 4 read 213997.09975469
esdm-lustre01 100 6 write 46804.14616759
esdm-lustre01 100 6 write 45679.87969503
esdm-lustre01 100 6 write 47716.10088316
esdm-lustre01 100 6 read 253230.42159921
esdm-lustre01 100 6 read 274771.76312898
esdm-lustre01 100 6 read 229959.53581948
esdm-lustre01 100 8 write 44298.87324710
esdm-lustre01 100 8 write 47332.64294589
esdm-lustre01 100 8 write 46565.10184905
esdm-lustre01 100 8 read 299277.12343036
esdm-lustre01 100 8 read 222606.68894898
esdm-lustre01 100 8 read 293509.99115544
esdm-lustre-both 100 12 write 55035.35178453
esdm-lustre-both 100 12 write 48152.15043647
esdm-lustre-both 100 12 write 40972.32230216
esdm-lustre-both 100 12 read 334652.17127040
esdm-lustre-both 100 12 read 385765.16558429
esdm-lustre-both 100 12 read 306242.36381933
esdm-lustre-both 100 1 write 50993.63823378
esdm-lustre-both 100 1 write 41459.61026796
esdm-lustre-both 100 1 write 44403.87832477
esdm-lustre-both 100 1 write 42626.20460609
esdm-lustre-both 100 1 read 63015.15465887
esdm-lustre-both 100 1 read 62758.80960788
